,ID,Name,Frequency [MHz],Bandwidth [kHz]/Baud,Status,Description,Source,Orbit
0,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",9600.0,600000.0 kHz,None,Three satellites,FCC,None
1,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",1542.0,34000.0 kHz,None,Three satellites,FCC,None
2,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",1643.25,33500.0 kHz,None,Three satellites,FCC,None
3,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",2036.0,1400.0 kHz,None,Three satellites,FCC,None
4,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",8027.0,1400.0 kHz,None,Three satellites,FCC,None
5,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",8212.5,337500.0 kHz,None,Three satellites,FCC,None
6,None, ECHOSTAR 19,18800.0,1000000.0 kHz,None,Formerly JUPITER 2 and JUPITER 97W,FCC,None
7,None, ECHOSTAR 19,28475.0,1250000.0 kHz,None,Formerly JUPITER 2 and JUPITER 97W,FCC,None
8,None, ECHOSTAR 19,29625.0,750000.0 kHz,None,Formerly JUPITER 2 and JUPITER 97W,FCC,None
9,None, ECHOSTAR 19,19950.0,500000.0 kHz,None,Formerly JUPITER 2 and JUPITER 97W,FCC,None
10,None,-----  (Phase-3A),145.81,None,Failure,"Beacon, SSB CW",AmSAT,None
11,None,-----  (Phase-3A),145.89999999999998,62.0 kHz,Failure,SSB CW,AmSAT,None
12,57312,1998-067VQ,None,None,Active,None,CelesTrak,LEO
13,57313,1998-067VR,None,None,Active,None,CelesTrak,LEO
14,57314,1998-067VS,None,None,Active,None,CelesTrak,LEO
15,57315,1998-067VT,None,None,Active,None,CelesTrak,LEO
16,57317,1998-067VV,None,None,Active,None,CelesTrak,LEO
17,44859,1HOPSAT-TD,None,None,None,None,UCS,LEO
18,43466,1KUNS-PF,437.3,9600.0,inactive,TLM GMSK 9k6,SatNOGS,None
19,43466,1KUNS-PF,437.3,1200.0,inactive,TLM GMSK,SatNOGS,None
20,43466,1KUNS-PF,437.3015,1200.0,inactive,Telemetry (drifting),SatNOGS,None
21,43466,1KUNS-PF,437.3,None,Re-entered,1k2/2k4/4k8/9k6 GMSK,AmSAT,None
22,40899,2015-049A,None,None,Active,None,CelesTrak,LEO
23,44316,2019-032G - Unknown Satellite,401.305,None,active,Downlink,SatNOGS,None
24,44842,2019-087E - Unknown Satellte,401.687,None,active,Downlink,SatNOGS,None
25,44884,2019-093F,401.546,None,active,Mode U,SatNOGS,None
26,49322,2021-091H,435.75,1200.0,inactive,Mode U - FSK 1200,SatNOGS,None
27,49322,2021-091H,435.75,9600.0,invalid,Mode U - BPSK 9600,SatNOGS,None
28,49322,2021-091H,435.75,4800.0,active,Mode U - BPSK 4800,SatNOGS,None
29,51824,2022-019A,None,None,Active,None,CelesTrak,LEO
30,51825,2022-019B,None,None,Active,None,CelesTrak,LEO
31,51827,2022-019D,None,None,Active,None,CelesTrak,LEO
32,51828,2022-019E,None,None,Active,None,CelesTrak,LEO
33,51829,2022-019F,None,None,Active,None,CelesTrak,LEO
34,51830,2022-019G,None,None,Active,None,CelesTrak,LEO
35,51832,2022-019J,None,None,Active,None,CelesTrak,LEO
36,51833,2022-019K,None,None,Active,None,CelesTrak,LEO
37,51836,2022-019N,None,None,Active,None,CelesTrak,LEO
38,51837,2022-019P,None,None,Active,None,CelesTrak,LEO
39,51842,2022-019U,None,None,Active,None,CelesTrak,LEO
40,51843,2022-019V,None,None,Active,None,CelesTrak,LEO
41,51845,2022-019X,None,None,Active,None,CelesTrak,LEO
42,51946,2022-023A,None,None,Active,None,CelesTrak,LEO
43,51947,2022-023B,None,None,Active,None,CelesTrak,LEO
44,51948,2022-023C,None,None,Active,None,CelesTrak,LEO
45,51949,2022-023D,None,None,Active,None,CelesTrak,LEO
46,51950,2022-023E,None,None,Active,None,CelesTrak,MEO
47,51951,2022-023F,None,None,Active,None,CelesTrak,LEO
48,51952,2022-023G,None,None,Active,None,CelesTrak,LEO
49,52085,2022-027B,400.006,None,active,UHF Unknown,SatNOGS,None
50,52085,2022-027B,401.55,None,active,Mode U,SatNOGS,None
51,52153,2022-032A,None,None,Active,None,CelesTrak,MEO
52,52155,2022-032C,None,None,Active,None,CelesTrak,MEO
53,52156,2022-032D,None,None,Active,None,CelesTrak,MEO
54,52420,2022-047AC,437.075,None,active,Possible Mode U,SatNOGS,None
55,52716,2022-056A,None,None,Active,None,CelesTrak,MEO
56,52717,2022-056B,None,None,Active,None,CelesTrak,MEO
57,52718,2022-056C,None,None,Active,None,CelesTrak,MEO
58,53299,2022-087A,None,None,Active,None,CelesTrak,LEO
59,53300,2022-087B,None,None,Active,None,CelesTrak,LEO
60,53301,2022-087C,None,None,Active,None,CelesTrak,LEO
61,53302,2022-087D,None,None,Active,None,CelesTrak,LEO
62,53303,2022-087E,None,None,Active,None,CelesTrak,LEO
63,53346,2022-090A,None,None,Active,None,CelesTrak,LEO
64,53347,2022-090B,None,None,Active,None,CelesTrak,LEO
65,53348,2022-090C,None,None,Active,None,CelesTrak,LEO
66,53367,2022-095A,None,None,Active,None,CelesTrak,LEO
67,53368,2022-095B,None,None,Active,None,CelesTrak,LEO
68,53369,2022-095C,None,None,Active,None,CelesTrak,LEO
69,53371,2022-096B,None,None,Active,None,CelesTrak,LEO
70,53372,2022-096C,None,None,Active,None,CelesTrak,LEO
